"LEA.Name","School.Code","School.Name","SBE.Region","SPG.Grade","SPG.Score","Reading.SPG.Grade","Reading..SPG.Score","Math.SPG.Grade","Math.SPG.Score","EVAAS.Growth.Status","EVAAS.Growth.Score","Overall.Achievement.Score.99","Read.Score.99","Math.Score.99","Science.Score.99","Math.I.Score.99","English.II.Score.99","Biology.Score.99","The.ACT.Score.99","ACT.WorkKeys.Score.99","Math.Course.Rigor.Score.99","Cohort.Grad.Rate.Std.Score.99"
"Wake County Schools","920542","Reedy Creek Elementary",3,"C",63,"C",64,"C",63,"Met",74.4,60,59,61,58,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920543","Richland Creek ES",3,"C",63,"C",67,"C",60,"Met",81.8,58,63,55,57,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920544","Rolesville Elementary",3,"B",75,"C",69,"B",77,"Met",84.6,72,68,74,81,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920545","Rolesville Middle",3,"C",63,"C",67,"C",55,"Met",78.7,59,62,51,77,88,NA,NA,NA,NA,NA,NA
"Wake County Schools","920546","Rolesville High",3,"C",56,"",NA,"",NA,"Met",76.2,50,NA,NA,NA,51,40,59,NA,NA,NA,NA
"Wake County Schools","920548","Root Elementary",3,"B",70,"B",75,"C",64,"Met",71.4,70,73,65,74,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920550","Salem Elementary",3,"B",76,"B",75,"B",75,"Met",76.6,76,74,76,81,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920551","Salem Middle",3,"B",81,"B",76,"B",77,"Exceeded",89.4,79,77,74,91,99,NA,NA,NA,NA,NA,NA
"Wake County Schools","920552","Sanderson High",3,"B",76,"",NA,"",NA,"Exceeded",100,71,NA,NA,NA,56,67,58,69,67,93,83
"Wake County Schools","920554","Sanford Creek Elementary",3,"C",62,"C",62,"C",69,"NotMet",66.8,61,59,66,50,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920560","Smith Elementary",3,"C",55,"D",54,"D",53,"Met",82.6,48,47,46,60,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920562","Southeast Raleigh High",3,"C",65,"",NA,"",NA,"Exceeded",92.7,58,NA,NA,NA,41,57,36,43,67,84,80
"Wake County Schools","920564","Stough Elementary",3,"C",60,"C",66,"C",57,"Met",78.9,55,61,53,43,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920568","Swift Creek Elementary",3,"C",67,"B",70,"C",66,"NotMet",57.5,70,70,69,72,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920569","Sycamore Creek Elementary",3,"A",85,"B",83,"A",87,"Met",80.8,86,84,88,88,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920570","Timber Drive Elementary",3,"C",61,"C",61,"C",60,"NotMet",62.1,60,58,59,71,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920571","Turner Creek Elementary",3,"B",81,"B",78,"B",81,"Met",84,80,77,81,86,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920572","Underwood Elementary",3,"B",80,"B",82,"B",76,"Met",78.5,80,82,78,80,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920576","Vance Elementary",3,"C",67,"C",61,"B",72,"Exceeded",87.3,63,58,67,62,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920580","Vandora Springs Elementary",3,"C",62,"C",64,"C",59,"Exceeded",86,56,58,52,60,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920582","Wake NCSU STEM ECHS",3,"A",89,"",NA,"",NA,"Exceeded",88.5,89,NA,NA,NA,88,91,90,88,NA,NA,NA
"Wake County Schools","920583","Wake Early College of Health and Science",3,"A",89,"",NA,"",NA,"Exceeded",90.6,88,NA,NA,NA,76,91,79,99,NA,99,99
"Wake County Schools","920584","Wake Forest Elementary",3,"B",73,"B",73,"B",73,"Met",78.2,72,72,72,75,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920585","Wake Young Men's Leadership Academy",3,"C",67,"B",75,"D",53,"NotMet",59.2,69,75,52,91,75,90,54,NA,NA,NA,NA
"Wake County Schools","920586","Wake Young Women's Leadership Academy",3,"B",78,"B",80,"C",67,"Exceeded",90,75,79,63,93,68,93,69,NA,NA,NA,NA
"Wake County Schools","920588","Wake Forest High School",3,"B",80,"",NA,"",NA,"Exceeded",100,76,NA,NA,NA,59,69,77,69,87,93,85
"Wake County Schools","920592","Wake Forest Middle School",3,"C",66,"C",68,"D",53,"Exceeded",87.2,61,62,49,83,78,NA,NA,NA,NA,NA,NA
"Wake County Schools","920593","Wakefield Elementary",3,"C",60,"C",63,"C",61,"Met",71.4,57,58,58,50,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920594","Wakefield Middle",3,"C",69,"B",73,"C",56,"Met",74.2,68,70,55,87,83,NA,NA,NA,NA,NA,NA
"Wake County Schools","920595","Wakefield High",3,"B",79,"",NA,"",NA,"Exceeded",100,74,NA,NA,NA,63,69,69,64,68,92,88
"Wake County Schools","920596","Washington Elementary",3,"B",74,"B",76,"B",71,"Exceeded",89.4,70,72,68,70,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920597","Wakelon Elementary",3,"C",57,"C",57,"D",52,"Met",76.7,52,52,47,65,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920598","Weatherstone Elementary",3,"B",84,"B",79,"A",86,"Exceeded",98.9,81,76,84,87,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920599","Walnut Creek ES",3,"D",44,"D",47,"D",44,"NotMet",63.6,40,39,39,43,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920600","Wendell Elementary",3,"C",60,"C",56,"D",52,"Exceeded",90.4,52,48,45,79,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920601","Wendell Middle",3,"D",46,"D",50,"F",35,"NotMet",56.4,43,43,31,74,56,NA,NA,NA,NA,NA,NA
"Wake County Schools","920604","West Cary Middle",3,"B",72,"B",72,"C",64,"NotMet",67.2,73,72,65,90,90,NA,NA,NA,NA,NA,NA
"Wake County Schools","920606","West Lake Elementary",3,"B",76,"B",75,"B",76,"Exceeded",90.1,72,72,72,73,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920607","West Lake Middle",3,"B",73,"B",72,"C",67,"Exceeded",85,71,70,63,82,99,NA,NA,NA,NA,NA,NA
"Wake County Schools","920608","West Millbrook Middle",3,"C",63,"C",64,"D",52,"Met",71.2,61,62,49,78,93,NA,NA,NA,NA,NA,NA
"Wake County Schools","920616","Wilburn Elementary",3,"D",51,"D",51,"D",51,"Met",80.5,43,43,44,42,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920618","Wildwood Forest Elementary",3,"C",58,"C",60,"C",58,"NotMet",56.9,58,57,58,59,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920620","Wiley Elementary",3,"B",74,"B",71,"B",72,"Exceeded",85.2,71,67,70,82,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920624","Willow Springs Elementary",3,"B",83,"B",77,"B",83,"Exceeded",92.7,80,76,81,90,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920626","Yates Mill Elementary",3,"B",74,"C",67,"B",76,"Met",83.1,72,64,75,85,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920628","York Elementary",3,"C",65,"C",65,"C",62,"Met",74.7,63,62,59,75,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920632","Zebulon Elementary",3,"C",66,"C",68,"C",64,"Exceeded",85.6,61,62,60,61,NA,NA,NA,NA,NA,NA,NA
"Wake County Schools","920636","Zebulon Middle",3,"D",54,"C",60,"D",43,"NotMet",69,50,54,39,70,51,NA,NA,NA,NA,NA,NA
"Wake County Schools","920700","East Wake School of Health Science",3,"B",73,"",NA,"",NA,"Exceeded",89.3,68,NA,NA,NA,46,71,49,53,74,99,89
"Wake County Schools","920701","East Wake School of Integrated Technolog",3,"C",60,"",NA,"",NA,"Met",78.9,55,NA,NA,NA,37,58,31,56,52,93,81
"Wake County Schools","920702","East Wake School of Arts Education and G",3,"C",68,"",NA,"",NA,"Exceeded",92.8,62,NA,NA,NA,33,59,53,38,58,92,86
"Wake County Schools","920703","East Wake School of Engineering",3,"D",54,"",NA,"",NA,"NotMet",62.8,52,NA,NA,NA,30,42,30,35,78,95,76
