"LEA.Name","School.Code","School.Name","SBE.District","SPG.Grade","SPG.Score","Reading.SPG.Grade","Reading..SPG.Score","Math.SPG.Grade","Math.SPG.Score","EVAAS.Growth.Status","EVAAS.Growth.Score","Overall.Achievement.Score.99","Read.Score.99","Math.Score.99","Science.Score.99","Math.I.Score.99","English.II.Score.99","Biology.Score.99","The.ACT.Score.99","ACT.WorkKeys.Score.99","Math.Course.Rigor.Score.99","Cohort.Grad.Rate.Std.Score.99","State.Gap.Compared"
"Wake County Schools","920601","Wendell Middle","North Central","D",50,"D",47,"D",43,"Met",71.5,44,42,35,69,84,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920604","West Cary Middle","North Central","B",74,"B",74,"C",64,"Met",73.5,75,73,66,93,91,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920606","West Lake Elementary","North Central","B",74,"B",74,"B",72,"Met",75.8,73,73,71,79,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920607","West Lake Middle","North Central","B",72,"B",71,"C",62,"Met",71.9,72,71,63,86,99,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920608","West Millbrook Middle","North Central","C",63,"C",63,"C",55,"Met",77.7,60,61,49,75,92,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920616","Wilburn Elementary","North Central","D",47,"D",47,"D",48,"Met",71,41,40,41,43,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920618","Wildwood Forest Elementary","North Central","C",62,"C",62,"C",64,"Met",78.9,58,57,59,52,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920620","Wiley Elementary","North Central","C",63,"C",65,"C",61,"NotMet",63.5,63,63,62,68,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920624","Willow Springs Elementary","North Central","B",83,"B",77,"A",85,"Exceeded",87.6,82,77,85,90,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920626","Yates Mill Elementary","North Central","B",71,"C",63,"B",74,"Met",80.4,69,60,73,83,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920628","York Elementary","North Central","C",69,"B",70,"C",65,"Met",83.6,66,66,61,79,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920632","Zebulon Elementary","North Central","D",53,"C",55,"C",56,"NotMet",58.9,52,53,53,48,NA,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920636","Zebulon Middle","North Central","C",55,"D",53,"D",48,"Met",81.5,48,47,39,66,99,NA,NA,NA,NA,NA,NA,""
"Wake County Schools","920700","East Wake School of Health Science","North Central","C",69,"",NA,"",NA,"Exceeded",87.4,64,NA,NA,NA,42,62,38,55,95,93,88,""
"Wake County Schools","920701","East Wake School of Integrated Technolog","North Central","C",63,"",NA,"",NA,"Met",81.8,58,NA,NA,NA,28,51,43,39,74,92,87,""
"Wake County Schools","920702","East Wake School of Arts Education and G","North Central","C",68,"",NA,"",NA,"Exceeded",91.8,62,NA,NA,NA,34,54,57,43,70,99,86,""
"Wake County Schools","920703","East Wake School of Engineering","North Central","C",59,"",NA,"",NA,"Met",80.9,54,NA,NA,NA,28,52,28,33,86,90,87,""
